initial_alias	converted_alias	name
ENSG00000266619	hsa-mir-4642	MIR4642
ENSG00000207769	hsa-mir-586	MIR586
ENSG00000207604	hsa-mir-206	MIR206
ENSG00000199080	hsa-mir-133b	MIR133B
ENSG00000264056	hsa-mir-5685	MIR5685
ENSG00000212017	hsa-mir-548u	MIR548U
ENSG00000199094	hsa-mir-30c-2	MIR30C2
ENSG00000207827	hsa-mir-30a	MIR30A
ENSG00000266180	hsa-mir-4282	MIR4282
ENSG00000263533	hsa-mir-4463	MIR4463
ENSG00000266760	hsa-mir-4464	MIR4464
ENSG00000263734	hsa-mir-4643	MIR4643
ENSG00000238367	hsa-mir-2113	MIR2113
ENSG00000265226	hsa-mir-548ai	MIR548AI
ENSG00000207577	hsa-mir-587	MIR587
ENSG00000207982	hsa-mir-548b	MIR548B
ENSG00000265725	hsa-mir-3144	MIR3144
ENSG00000207632	hsa-mir-588	MIR588
ENSG00000266807	hsa-mir-548h-5	MIR548H5
ENSG00000265669	hsa-mir-548aj-1	MIR548AJ1
ENSG00000283409	hsa-mir-3662	MIR3662
ENSG00000207689	hsa-mir-548a-2	MIR548A2
ENSG00000266555	hsa-mir-3145	MIR3145
ENSG00000263514	hsa-mir-3668	MIR3668
ENSG00000264390	hsa-mir-4465	MIR4465
ENSG00000264814	hsa-mir-1273c	MIR1273C
ENSG00000221456	hsa-mir-1202	MIR1202
ENSG00000271899	hsa-mir-4466	MIR4466
ENSG00000266617	hsa-mir-3692	MIR3692
ENSG00000278571	hsa-mir-7161	MIR7161
ENSG00000265558	hsa-mir-3918	MIR3918
ENSG00000222958	hsa-mir-1913	MIR1913
